"Barcode"	"Cluster"
"E03_C08_P1-F12_LIG63_5_1"	"E03_C08_P1-F12_LIG63_5_1"	"SRI"
"E03_C09_P1-F09_LIG116_5_1"	"E03_C09_P1-F09_LIG116_5_1"	"SRI"
"E03_C09_P1-F11_LIG278_5_1"	"E03_C09_P1-F11_LIG278_5_1"	"SII"
"E03_C12_P1-F11_LIG308_5_1"	"E03_C12_P1-F11_LIG308_5_1"	"SRI"
"E03_C12_P3-G03_LIG43_5_1"	"E03_C12_P3-G03_LIG43_5_1"	"SRI"
"E05_D01_P3-G02_LIG192_5_1"	"E05_D01_P3-G02_LIG192_5_1"	"SRI"
"E05_D02_P3-G02_LIG295_5_1"	"E05_D02_P3-G02_LIG295_5_1"	"SRI"
"E05_D03_P1-F11_LIG259_5_1"	"E05_D03_P1-F11_LIG259_5_1"	"SRI"
"E05_D03_P1-F12_LIG25_5_1"	"E05_D03_P1-F12_LIG25_5_1"	"SII"
"E05_D04_P1-F11_LIG339_5_1"	"E05_D04_P1-F11_LIG339_5_1"	"SRI"
"E05_D05_P1-F11_LIG125_5_1"	"E05_D05_P1-F11_LIG125_5_1"	"SRI"
"E05_D06_P3-G03_LIG60_5_1"	"E05_D06_P3-G03_LIG60_5_1"	"SRI"
"E05_D08_P1-F09_LIG50_5_1"	"E05_D08_P1-F09_LIG50_5_1"	"SRI"
"E05_D09_P1-F11_LIG231_5_1"	"E05_D09_P1-F11_LIG231_5_1"	"SRI"
"E05_D10_P1-F11_LIG129_5_1"	"E05_D10_P1-F11_LIG129_5_1"	"SRI"
"E05_D11_P3-G02_LIG197_5_1"	"E05_D11_P3-G02_LIG197_5_1"	"SRI"
"E06_E01_P1-F09_LIG346_5_1"	"E06_E01_P1-F09_LIG346_5_1"	"SRI"
"E06_E02_P1-F10_LIG165_5_1"	"E06_E02_P1-F10_LIG165_5_1"	"SRI"
"E06_E03_P1-F09_LIG143_5_1"	"E06_E03_P1-F09_LIG143_5_1"	"SRI"
"E06_E03_P1-F09_LIG257_5_1"	"E06_E03_P1-F09_LIG257_5_1"	"SRI"
"E06_E05_P1-F10_LIG203_5_1"	"E06_E05_P1-F10_LIG203_5_1"	"SRI"
"E06_E05_P3-G02_LIG347_5_1"	"E06_E05_P3-G02_LIG347_5_1"	"SRI"
"E06_E06_P1-F10_LIG281_5_1"	"E06_E06_P1-F10_LIG281_5_1"	"SRI"
"E06_E06_P1-F11_LIG120_5_1"	"E06_E06_P1-F11_LIG120_5_1"	"SRI"
"E06_E06_P1-F11_LIG257_5_1"	"E06_E06_P1-F11_LIG257_5_1"	"SRI"
"E06_E09_P1-F11_LIG151_5_1"	"E06_E09_P1-F11_LIG151_5_1"	"SRI"
"E06_E10_P1-F10_LIG232_5_1"	"E06_E10_P1-F10_LIG232_5_1"	"SRI"
"E06_E10_P1-F12_LIG75_5_1"	"E06_E10_P1-F12_LIG75_5_1"	"SRI"
"E06_E12_P1-F09_LIG327_5_1"	"E06_E12_P1-F09_LIG327_5_1"	"SRI"
"E10_A02_P1-F12_LIG72_5_1"	"E10_A02_P1-F12_LIG72_5_1"	"SRI"
"E10_A04_P1-F10_LIG276_5_1"	"E10_A04_P1-F10_LIG276_5_1"	"SRI"
"E10_A04_P3-G02_LIG348_5_1"	"E10_A04_P3-G02_LIG348_5_1"	"SRI"
"E10_A04_P3-G03_LIG245_5_1"	"E10_A04_P3-G03_LIG245_5_1"	"SRI"
"E10_A07_P1-F10_LIG346_5_1"	"E10_A07_P1-F10_LIG346_5_1"	"SRI"
"E10_A08_P1-F11_LIG264_5_1"	"E10_A08_P1-F11_LIG264_5_1"	"SRI"
"E10_A09_P1-F09_LIG37_5_1"	"E10_A09_P1-F09_LIG37_5_1"	"SRI"
"E10_A10_P1-F10_LIG271_5_1"	"E10_A10_P1-F10_LIG271_5_1"	"SRI"
"E10_A11_P1-F09_LIG186_5_1"	"E10_A11_P1-F09_LIG186_5_1"	"SRI"
"E10_A11_P1-F10_LIG98_5_1"	"E10_A11_P1-F10_LIG98_5_1"	"SRI"
"E10_A11_P1-F12_LIG27_5_1"	"E10_A11_P1-F12_LIG27_5_1"	"SRI"
"E10_A12_P1-F10_LIG191_5_1"	"E10_A12_P1-F10_LIG191_5_1"	"SII"
"E11_B01_P1-F11_LIG105_5_1"	"E11_B01_P1-F11_LIG105_5_1"	"SRI"
"E11_B01_P3-G02_LIG222_5_1"	"E11_B01_P3-G02_LIG222_5_1"	"SRI"
"E11_B01_P3-G03_LIG38_5_1"	"E11_B01_P3-G03_LIG38_5_1"	"SRI"
"E11_B03_P3-G02_LIG4_5_1"	"E11_B03_P3-G02_LIG4_5_1"	"SRI"
"E11_B04_P1-F11_LIG146_5_1"	"E11_B04_P1-F11_LIG146_5_1"	"SRI"
"E11_B05_P3-G02_LIG348_5_1"	"E11_B05_P3-G02_LIG348_5_1"	"SRI"
"E11_B07_P1-F09_LIG193_5_1"	"E11_B07_P1-F09_LIG193_5_1"	"SRI"
"E11_B07_P1-F12_LIG202_5_1"	"E11_B07_P1-F12_LIG202_5_1"	"SRI"
"E11_B07_P3-G02_LIG38_5_1"	"E11_B07_P3-G02_LIG38_5_1"	"SRI"
"E11_B07_P3-G03_LIG23_5_1"	"E11_B07_P3-G03_LIG23_5_1"	"SRI"
"E11_B07_P3-G03_LIG84_5_1"	"E11_B07_P3-G03_LIG84_5_1"	"SRI"
"E11_B08_P1-F11_LIG152_5_1"	"E11_B08_P1-F11_LIG152_5_1"	"SRI"
"E11_B09_P1-F10_LIG119_5_1"	"E11_B09_P1-F10_LIG119_5_1"	"SRI"
"E11_B09_P1-F11_LIG81_5_1"	"E11_B09_P1-F11_LIG81_5_1"	"SRI"
"E11_B09_P1-F12_LIG305_5_1"	"E11_B09_P1-F12_LIG305_5_1"	"SRI"
"E11_B09_P3-G02_LIG72_5_1"	"E11_B09_P3-G02_LIG72_5_1"	"SRI"
"E11_B10_P3-G02_LIG113_5_1"	"E11_B10_P3-G02_LIG113_5_1"	"SRI"
"E11_B10_P3-G02_LIG164_5_1"	"E11_B10_P3-G02_LIG164_5_1"	"SRI"
"E11_B11_P1-F11_LIG357_5_1"	"E11_B11_P1-F11_LIG357_5_1"	"SRI"
"E11_B12_P3-G03_LIG324_5_1"	"E11_B12_P3-G03_LIG324_5_1"	"SRI"
"E11_F01_P1-F12_LIG372_5_1"	"E11_F01_P1-F12_LIG372_5_1"	"SRI"
"E11_F02_P1-F11_LIG126_5_1"	"E11_F02_P1-F11_LIG126_5_1"	"SRI"
"E11_F04_P1-F10_LIG74_5_1"	"E11_F04_P1-F10_LIG74_5_1"	"SRI"
"E11_F04_P1-F11_LIG117_5_1"	"E11_F04_P1-F11_LIG117_5_1"	"SRI"
"E11_F04_P3-G02_LIG238_5_1"	"E11_F04_P3-G02_LIG238_5_1"	"SRI"
"E11_F05_P3-G02_LIG311_5_1"	"E11_F05_P3-G02_LIG311_5_1"	"SRI"
"E11_F06_P3-G02_LIG16_5_1"	"E11_F06_P3-G02_LIG16_5_1"	"SRI"
"E11_F06_P3-G02_LIG188_5_1"	"E11_F06_P3-G02_LIG188_5_1"	"SRI"
"E11_F07_P1-F10_LIG8_5_1"	"E11_F07_P1-F10_LIG8_5_1"	"sAM"
"E11_F07_P1-F12_LIG181_5_1"	"E11_F07_P1-F12_LIG181_5_1"	"SRI"
"E11_F07_P1-F12_LIG92_5_1"	"E11_F07_P1-F12_LIG92_5_1"	"SRI"
"E11_F08_P3-G02_LIG132_5_1"	"E11_F08_P3-G02_LIG132_5_1"	"SRI"
"E11_F09_P1-F10_LIG215_5_1"	"E11_F09_P1-F10_LIG215_5_1"	"SRI"
"E11_F09_P1-F11_LIG189_5_1"	"E11_F09_P1-F11_LIG189_5_1"	"sAM"
"E11_F09_P3-G03_LIG20_5_1"	"E11_F09_P3-G03_LIG20_5_1"	"SRI"
"E11_F10_P1-F10_LIG38_5_1"	"E11_F10_P1-F10_LIG38_5_1"	"SRI"
"E11_F10_P3-G02_LIG163_5_1"	"E11_F10_P3-G02_LIG163_5_1"	"SRI"
"E11_F10_P3-G03_LIG294_5_1"	"E11_F10_P3-G03_LIG294_5_1"	"SRI"
"E11_F11_P1-F09_LIG338_5_1"	"E11_F11_P1-F09_LIG338_5_1"	"SRI"
"E11_F11_P1-F10_LIG224_5_1"	"E11_F11_P1-F10_LIG224_5_1"	"SRI"
"E11_F11_P1-F10_LIG9_5_1"	"E11_F11_P1-F10_LIG9_5_1"	"SRI"
"E11_F11_P1-F10_LIG91_5_1"	"E11_F11_P1-F10_LIG91_5_1"	"SRI"
"E11_F12_P1-F10_LIG228_5_1"	"E11_F12_P1-F10_LIG228_5_1"	"SRI"
"E12_G01_P1-F12_LIG141_5_1"	"E12_G01_P1-F12_LIG141_5_1"	"SII"
"E12_G01_P1-F12_LIG232_5_1"	"E12_G01_P1-F12_LIG232_5_1"	"SII"
"E12_G02_P1-F09_LIG139_5_1"	"E12_G02_P1-F09_LIG139_5_1"	"SRI"
"E12_G02_P1-F09_LIG25_5_1"	"E12_G02_P1-F09_LIG25_5_1"	"SRI"
"E12_G04_P1-F10_LIG301_5_1"	"E12_G04_P1-F10_LIG301_5_1"	"SRI"
"E12_G04_P1-F12_LIG25_5_1"	"E12_G04_P1-F12_LIG25_5_1"	"SRI"
"E12_G04_P1-F12_LIG42_5_1"	"E12_G04_P1-F12_LIG42_5_1"	"SRI"
"E12_G08_P1-F10_LIG32_5_1"	"E12_G08_P1-F10_LIG32_5_1"	"SRI"
"E12_G09_P1-F09_LIG301_5_1"	"E12_G09_P1-F09_LIG301_5_1"	"SRI"
"E12_G09_P1-F12_LIG48_5_1"	"E12_G09_P1-F12_LIG48_5_1"	"SRI"
"E12_G09_P3-G02_LIG79_5_1"	"E12_G09_P3-G02_LIG79_5_1"	"SRI"
"E12_G10_P1-F09_LIG63_5_1"	"E12_G10_P1-F09_LIG63_5_1"	"SII"
"E12_G11_P1-F09_LIG311_5_1"	"E12_G11_P1-F09_LIG311_5_1"	"SRI"
"E12_G11_P3-G03_LIG78_5_1"	"E12_G11_P3-G03_LIG78_5_1"	"eAM"
"F02_B01_P1-F12_LIG197_5_1"	"F02_B01_P1-F12_LIG197_5_1"	"SRI"
"F02_B02_P1-F11_LIG122_5_1"	"F02_B02_P1-F11_LIG122_5_1"	"SRI"
"F02_B03_P1-F09_LIG34_5_1"	"F02_B03_P1-F09_LIG34_5_1"	"SRI"
"F02_B03_P1-F09_LIG358_5_1"	"F02_B03_P1-F09_LIG358_5_1"	"SRI"
"F02_B05_P1-F11_LIG93_5_1"	"F02_B05_P1-F11_LIG93_5_1"	"SRI"
"F02_B07_P1-F11_LIG127_5_1"	"F02_B07_P1-F11_LIG127_5_1"	"SRI"
"F02_B08_P1-F12_LIG363_5_1"	"F02_B08_P1-F12_LIG363_5_1"	"SRI"
"F02_B10_P1-F12_LIG239_5_1"	"F02_B10_P1-F12_LIG239_5_1"	"SRI"
"F02_B10_P1-F12_LIG377_5_1"	"F02_B10_P1-F12_LIG377_5_1"	"SRI"
"F02_B11_P3-G03_LIG75_5_1"	"F02_B11_P3-G03_LIG75_5_1"	"SRI"
"F02_B12_P1-F10_LIG168_5_1"	"F02_B12_P1-F10_LIG168_5_1"	"SRI"
"F02_B12_P1-F10_LIG34_5_1"	"F02_B12_P1-F10_LIG34_5_1"	"SRI"
"F02_B12_P1-F12_LIG241_5_1"	"F02_B12_P1-F12_LIG241_5_1"	"SRI"
"F03_C02_P1-F10_LIG306_5_1"	"F03_C02_P1-F10_LIG306_5_1"	"SII"
"F03_C02_P3-G03_LIG242_5_1"	"F03_C02_P3-G03_LIG242_5_1"	"SRI"
"F03_C03_P1-F09_LIG71_5_1"	"F03_C03_P1-F09_LIG71_5_1"	"SRI"
"F03_C03_P1-F11_LIG239_5_1"	"F03_C03_P1-F11_LIG239_5_1"	"SRI"
"F03_C04_P1-F11_LIG245_5_1"	"F03_C04_P1-F11_LIG245_5_1"	"SRI"
"F03_C07_P1-F11_LIG161_5_1"	"F03_C07_P1-F11_LIG161_5_1"	"SRI"
"F03_C07_P1-F11_LIG292_5_1"	"F03_C07_P1-F11_LIG292_5_1"	"SRI"
"F03_C10_P1-F10_LIG168_5_1"	"F03_C10_P1-F10_LIG168_5_1"	"SRI"
"F03_C11_P1-F11_LIG51_5_1"	"F03_C11_P1-F11_LIG51_5_1"	"SRI"
"F05_D02_P1-F10_LIG119_5_1"	"F05_D02_P1-F10_LIG119_5_1"	"SRI"
"F05_D02_P1-F12_LIG322_5_1"	"F05_D02_P1-F12_LIG322_5_1"	"SRI"
"F05_D02_P3-G02_LIG58_5_1"	"F05_D02_P3-G02_LIG58_5_1"	"SRI"
"F05_D03_P1-F11_LIG319_5_1"	"F05_D03_P1-F11_LIG319_5_1"	"SRI"
"F05_D05_P3-G02_LIG251_5_1"	"F05_D05_P3-G02_LIG251_5_1"	"SRI"
"F05_D05_P3-G03_LIG86_5_1"	"F05_D05_P3-G03_LIG86_5_1"	"SRI"
"F05_D07_P1-F11_LIG35_5_1"	"F05_D07_P1-F11_LIG35_5_1"	"SRI"
"F05_D08_P1-F10_LIG214_5_1"	"F05_D08_P1-F10_LIG214_5_1"	"SRI"
"F05_D09_P1-F10_LIG277_5_1"	"F05_D09_P1-F10_LIG277_5_1"	"SRI"
"F05_D11_P1-F09_LIG12_5_1"	"F05_D11_P1-F09_LIG12_5_1"	"SRI"
"F05_D11_P3-G02_LIG48_5_1"	"F05_D11_P3-G02_LIG48_5_1"	"SRI"
"F05_D11_P3-G02_LIG53_5_1"	"F05_D11_P3-G02_LIG53_5_1"	"SRI"
"F05_D11_P3-G03_LIG304_5_1"	"F05_D11_P3-G03_LIG304_5_1"	"SRI"
"F06_E01_P1-F12_LIG153_5_1"	"F06_E01_P1-F12_LIG153_5_1"	"SRI"
"F06_E02_P3-G03_LIG190_5_1"	"F06_E02_P3-G03_LIG190_5_1"	"SRI"
"F06_E03_P1-F11_LIG247_5_1"	"F06_E03_P1-F11_LIG247_5_1"	"SRI"
"F06_E03_P3-G03_LIG276_5_1"	"F06_E03_P3-G03_LIG276_5_1"	"SRI"
"F06_E04_P1-F09_LIG82_5_1"	"F06_E04_P1-F09_LIG82_5_1"	"SRI"
"F06_E04_P1-F11_LIG22_5_1"	"F06_E04_P1-F11_LIG22_5_1"	"SRI"
"F06_E04_P1-F12_LIG324_5_1"	"F06_E04_P1-F12_LIG324_5_1"	"SRI"
"F06_E05_P3-G02_LIG75_5_1"	"F06_E05_P3-G02_LIG75_5_1"	"SRI"
"F06_E07_P3-G03_LIG314_5_1"	"F06_E07_P3-G03_LIG314_5_1"	"SRI"
"F06_E08_P1-F09_LIG139_5_1"	"F06_E08_P1-F09_LIG139_5_1"	"SRI"
"F06_E09_P1-F11_LIG1_5_1"	"F06_E09_P1-F11_LIG1_5_1"	"SRI"
"F06_E09_P1-F12_LIG107_5_1"	"F06_E09_P1-F12_LIG107_5_1"	"SRI"
"F06_E10_P3-G03_LIG24_5_1"	"F06_E10_P3-G03_LIG24_5_1"	"SRI"
"F06_E11_P1-F11_LIG249_5_1"	"F06_E11_P1-F11_LIG249_5_1"	"SRI"
"F10_A01_P1-F11_LIG196_5_1"	"F10_A01_P1-F11_LIG196_5_1"	"SRI"
"F10_A01_P1-F11_LIG303_5_1"	"F10_A01_P1-F11_LIG303_5_1"	"SRI"
"F10_A02_P1-F09_LIG80_5_1"	"F10_A02_P1-F09_LIG80_5_1"	"SRI"
"F10_A02_P3-G02_LIG1_5_1"	"F10_A02_P3-G02_LIG1_5_1"	"SRI"
"F10_A05_P1-F11_LIG76_5_1"	"F10_A05_P1-F11_LIG76_5_1"	"SRI"
"F10_A09_P1-F12_LIG134_5_1"	"F10_A09_P1-F12_LIG134_5_1"	"SRI"
"F10_A09_P1-F12_LIG261_5_1"	"F10_A09_P1-F12_LIG261_5_1"	"SRI"
"F10_A10_P1-F10_LIG307_5_1"	"F10_A10_P1-F10_LIG307_5_1"	"SRI"
"F10_A10_P1-F12_LIG164_5_1"	"F10_A10_P1-F12_LIG164_5_1"	"SRI"
"F10_A11_P1-F09_LIG202_5_1"	"F10_A11_P1-F09_LIG202_5_1"	"SRI"
"F10_A12_P1-F09_LIG230_5_1"	"F10_A12_P1-F09_LIG230_5_1"	"SRI"
"F10_A12_P3-G03_LIG362_5_1"	"F10_A12_P3-G03_LIG362_5_1"	"SRI"
"F11_B02_P1-F12_LIG182_5_1"	"F11_B02_P1-F12_LIG182_5_1"	"SRI"
"F11_B03_P3-G02_LIG89_5_1"	"F11_B03_P3-G02_LIG89_5_1"	"SRI"
"F11_B04_P1-F09_LIG27_5_1"	"F11_B04_P1-F09_LIG27_5_1"	"SRI"
"F11_B04_P1-F11_LIG43_5_1"	"F11_B04_P1-F11_LIG43_5_1"	"SRI"
"F11_B05_P3-G02_LIG209_5_1"	"F11_B05_P3-G02_LIG209_5_1"	"SRI"
"F11_B07_P1-F11_LIG174_5_1"	"F11_B07_P1-F11_LIG174_5_1"	"SRI"
"F11_B07_P3-G02_LIG342_5_1"	"F11_B07_P3-G02_LIG342_5_1"	"SRI"
"F11_B10_P1-F09_LIG302_5_1"	"F11_B10_P1-F09_LIG302_5_1"	"SRI"
"F11_B10_P1-F10_LIG151_5_1"	"F11_B10_P1-F10_LIG151_5_1"	"eAM"
"F11_B11_P1-F11_LIG144_5_1"	"F11_B11_P1-F11_LIG144_5_1"	"SRI"
"F11_B11_P1-F11_LIG84_5_1"	"F11_B11_P1-F11_LIG84_5_1"	"SRI"
"F11_B12_P3-G03_LIG209_5_1"	"F11_B12_P3-G03_LIG209_5_1"	"SRI"
"F11_F06_P1-F11_LIG145_5_1"	"F11_F06_P1-F11_LIG145_5_1"	"SII"
"F11_F09_P1-F12_LIG184_5_1"	"F11_F09_P1-F12_LIG184_5_1"	"SRI"
"F11_F09_P1-F12_LIG68_5_1"	"F11_F09_P1-F12_LIG68_5_1"	"SRI"
"F11_F11_P1-F12_LIG282_5_1"	"F11_F11_P1-F12_LIG282_5_1"	"SRI"
"F12_G01_P1-F10_LIG355_5_1"	"F12_G01_P1-F10_LIG355_5_1"	"SRI"
"F12_G01_P1-F11_LIG98_5_1"	"F12_G01_P1-F11_LIG98_5_1"	"SRI"
"F12_G01_P3-G02_LIG216_5_1"	"F12_G01_P3-G02_LIG216_5_1"	"SRI"
"F12_G02_P1-F10_LIG72_5_1"	"F12_G02_P1-F10_LIG72_5_1"	"SRI"
"F12_G04_P1-F11_LIG342_5_1"	"F12_G04_P1-F11_LIG342_5_1"	"SII"
"F12_G04_P1-F12_LIG344_5_1"	"F12_G04_P1-F12_LIG344_5_1"	"SRI"
"F12_G05_P1-F09_LIG213_5_1"	"F12_G05_P1-F09_LIG213_5_1"	"SRI"
"F12_G05_P1-F12_LIG274_5_1"	"F12_G05_P1-F12_LIG274_5_1"	"SRI"
"F12_G07_P1-F10_LIG269_5_1"	"F12_G07_P1-F10_LIG269_5_1"	"SRI"
"F12_G08_P3-G03_LIG153_5_1"	"F12_G08_P3-G03_LIG153_5_1"	"SRI"
"F12_G09_P3-G02_LIG124_5_1"	"F12_G09_P3-G02_LIG124_5_1"	"SRI"
"F12_G10_P1-F12_LIG233_5_1"	"F12_G10_P1-F12_LIG233_5_1"	"SRI"
"F12_G10_P3-G02_LIG6_5_1"	"F12_G10_P3-G02_LIG6_5_1"	"SRI"
"F12_G10_P3-G02_LIG87_5_1"	"F12_G10_P3-G02_LIG87_5_1"	"SRI"
"F12_G12_P1-F11_LIG374_5_1"	"F12_G12_P1-F11_LIG374_5_1"	"SRI"
"G02_B01_P3-G02_LIG6_5_1"	"G02_B01_P3-G02_LIG6_5_1"	"SRI"
"G02_B02_P3-G03_LIG86_5_1"	"G02_B02_P3-G03_LIG86_5_1"	"eAM"
"G02_B03_P1-F09_LIG316_5_1"	"G02_B03_P1-F09_LIG316_5_1"	"SRI"
"G02_B03_P3-G02_LIG163_5_1"	"G02_B03_P3-G02_LIG163_5_1"	"SRI"
"G02_B04_P1-F09_LIG121_5_1"	"G02_B04_P1-F09_LIG121_5_1"	"SRI"
"G02_B06_P1-F11_LIG271_5_1"	"G02_B06_P1-F11_LIG271_5_1"	"SRI"
"G02_B06_P1-F12_LIG77_5_1"	"G02_B06_P1-F12_LIG77_5_1"	"SRI"
"G02_B07_P1-F10_LIG171_5_1"	"G02_B07_P1-F10_LIG171_5_1"	"SRI"
"G02_B07_P1-F10_LIG215_5_1"	"G02_B07_P1-F10_LIG215_5_1"	"SRI"
"G02_B08_P1-F09_LIG118_5_1"	"G02_B08_P1-F09_LIG118_5_1"	"SRI"
"G02_B08_P3-G02_LIG333_5_1"	"G02_B08_P3-G02_LIG333_5_1"	"SRI"
"G02_B10_P3-G03_LIG192_5_1"	"G02_B10_P3-G03_LIG192_5_1"	"SRI"
"G02_B12_P1-F10_LIG195_5_1"	"G02_B12_P1-F10_LIG195_5_1"	"SRI"
"G02_B12_P1-F11_LIG93_5_1"	"G02_B12_P1-F11_LIG93_5_1"	"SRI"
"G02_B12_P1-F12_LIG184_5_1"	"G02_B12_P1-F12_LIG184_5_1"	"SRI"
"G02_B12_P3-G03_LIG72_5_1"	"G02_B12_P3-G03_LIG72_5_1"	"SRI"
"G03_C01_P1-F09_LIG1_5_1"	"G03_C01_P1-F09_LIG1_5_1"	"SRI"
"G03_C02_P1-F11_LIG338_5_1"	"G03_C02_P1-F11_LIG338_5_1"	"SRI"
"G03_C03_P1-F12_LIG202_5_1"	"G03_C03_P1-F12_LIG202_5_1"	"SRI"
"G03_C06_P1-F10_LIG333_5_1"	"G03_C06_P1-F10_LIG333_5_1"	"SRI"
"G03_C06_P3-G02_LIG253_5_1"	"G03_C06_P3-G02_LIG253_5_1"	"SRI"
"G03_C10_P1-F09_LIG14_5_1"	"G03_C10_P1-F09_LIG14_5_1"	"SRI"
"G03_C10_P1-F09_LIG364_5_1"	"G03_C10_P1-F09_LIG364_5_1"	"SRI"
"G03_C10_P1-F10_LIG26_5_1"	"G03_C10_P1-F10_LIG26_5_1"	"SRI"
"G03_C10_P3-G02_LIG24_5_1"	"G03_C10_P3-G02_LIG24_5_1"	"SRI"
"G03_C11_P1-F10_LIG44_5_1"	"G03_C11_P1-F10_LIG44_5_1"	"SRI"
"G03_C11_P1-F11_LIG323_5_1"	"G03_C11_P1-F11_LIG323_5_1"	"SRI"
"G05_D01_P1-F11_LIG230_5_1"	"G05_D01_P1-F11_LIG230_5_1"	"SRI"
"G05_D02_P1-F09_LIG85_5_1"	"G05_D02_P1-F09_LIG85_5_1"	"SRI"
"G05_D02_P1-F11_LIG305_5_1"	"G05_D02_P1-F11_LIG305_5_1"	"eAM"
"G05_D02_P3-G02_LIG101_5_1"	"G05_D02_P3-G02_LIG101_5_1"	"SRI"
"G05_D03_P1-F10_LIG56_5_1"	"G05_D03_P1-F10_LIG56_5_1"	"SRI"
"G05_D04_P1-F10_LIG22_5_1"	"G05_D04_P1-F10_LIG22_5_1"	"SRI"
"G05_D04_P3-G02_LIG112_5_1"	"G05_D04_P3-G02_LIG112_5_1"	"SRI"
"G05_D08_P1-F12_LIG129_5_1"	"G05_D08_P1-F12_LIG129_5_1"	"SRI"
"G05_D08_P3-G02_LIG120_5_1"	"G05_D08_P3-G02_LIG120_5_1"	"SRI"
"G05_D08_P3-G02_LIG62_5_1"	"G05_D08_P3-G02_LIG62_5_1"	"eAM"
"G05_D09_P3-G03_LIG114_5_1"	"G05_D09_P3-G03_LIG114_5_1"	"SRI"
"G05_D11_P1-F10_LIG215_5_1"	"G05_D11_P1-F10_LIG215_5_1"	"SRI"
"G05_D11_P1-F12_LIG85_5_1"	"G05_D11_P1-F12_LIG85_5_1"	"SRI"
"G05_D11_P3-G02_LIG280_5_1"	"G05_D11_P3-G02_LIG280_5_1"	"SRI"
"G05_D12_P1-F09_LIG199_5_1"	"G05_D12_P1-F09_LIG199_5_1"	"SRI"
"G05_D12_P3-G03_LIG285_5_1"	"G05_D12_P3-G03_LIG285_5_1"	"SRI"
"G06_E04_P1-F12_LIG45_5_1"	"G06_E04_P1-F12_LIG45_5_1"	"SRI"
"G06_E05_P1-F09_LIG284_5_1"	"G06_E05_P1-F09_LIG284_5_1"	"SRI"
"G06_E05_P1-F11_LIG126_5_1"	"G06_E05_P1-F11_LIG126_5_1"	"SRI"
"G06_E06_P1-F12_LIG274_5_1"	"G06_E06_P1-F12_LIG274_5_1"	"SRI"
"G06_E07_P1-F11_LIG100_5_1"	"G06_E07_P1-F11_LIG100_5_1"	"SRI"
"G06_E07_P1-F11_LIG54_5_1"	"G06_E07_P1-F11_LIG54_5_1"	"SRI"
"G06_E07_P1-F12_LIG101_5_1"	"G06_E07_P1-F12_LIG101_5_1"	"SII"
"G06_E08_P1-F10_LIG117_5_1"	"G06_E08_P1-F10_LIG117_5_1"	"SRI"
"G06_E08_P1-F11_LIG202_5_1"	"G06_E08_P1-F11_LIG202_5_1"	"SRI"
"G06_E08_P3-G03_LIG62_5_1"	"G06_E08_P3-G03_LIG62_5_1"	"SRI"
"G06_E09_P1-F11_LIG196_5_1"	"G06_E09_P1-F11_LIG196_5_1"	"SII"
"G06_E11_P1-F12_LIG38_5_1"	"G06_E11_P1-F12_LIG38_5_1"	"eAM"
"G10_A01_P1-F09_LIG177_5_1"	"G10_A01_P1-F09_LIG177_5_1"	"SRI"
"G10_A01_P1-F09_LIG41_5_1"	"G10_A01_P1-F09_LIG41_5_1"	"SRI"
"G10_A01_P1-F12_LIG16_5_1"	"G10_A01_P1-F12_LIG16_5_1"	"SRI"
"G10_A02_P1-F12_LIG236_5_1"	"G10_A02_P1-F12_LIG236_5_1"	"SRI"
"G10_A04_P1-F09_LIG22_5_1"	"G10_A04_P1-F09_LIG22_5_1"	"SII"
"G10_A04_P1-F11_LIG200_5_1"	"G10_A04_P1-F11_LIG200_5_1"	"SRI"
"G10_A04_P1-F12_LIG328_5_1"	"G10_A04_P1-F12_LIG328_5_1"	"SRI"
"G10_A05_P1-F11_LIG251_5_1"	"G10_A05_P1-F11_LIG251_5_1"	"SII"
"G10_A05_P1-F12_LIG240_5_1"	"G10_A05_P1-F12_LIG240_5_1"	"SRI"
"G10_A06_P1-F12_LIG209_5_1"	"G10_A06_P1-F12_LIG209_5_1"	"SRI"
"G10_A08_P1-F10_LIG23_5_1"	"G10_A08_P1-F10_LIG23_5_1"	"SRI"
"G10_A08_P3-G03_LIG179_5_1"	"G10_A08_P3-G03_LIG179_5_1"	"SRI"
"G10_A09_P1-F09_LIG201_5_1"	"G10_A09_P1-F09_LIG201_5_1"	"SRI"
"G10_A09_P1-F11_LIG11_5_1"	"G10_A09_P1-F11_LIG11_5_1"	"SRI"
"G10_A09_P3-G02_LIG12_5_1"	"G10_A09_P3-G02_LIG12_5_1"	"SRI"
"G10_A11_P3-G03_LIG38_5_1"	"G10_A11_P3-G03_LIG38_5_1"	"SRI"
"G10_A12_P1-F11_LIG37_5_1"	"G10_A12_P1-F11_LIG37_5_1"	"SRI"
"G10_A12_P3-G02_LIG216_5_1"	"G10_A12_P3-G02_LIG216_5_1"	"SRI"
"G10_A12_P3-G02_LIG263_5_1"	"G10_A12_P3-G02_LIG263_5_1"	"sAM"
"G11_B01_P1-F10_LIG323_5_1"	"G11_B01_P1-F10_LIG323_5_1"	"SRI"
"G11_B02_P3-G02_LIG310_5_1"	"G11_B02_P3-G02_LIG310_5_1"	"SRI"
"G11_B04_P1-F11_LIG310_5_1"	"G11_B04_P1-F11_LIG310_5_1"	"SRI"
"G11_B04_P3-G02_LIG174_5_1"	"G11_B04_P3-G02_LIG174_5_1"	"SRI"
"G11_B05_P1-F09_LIG293_5_1"	"G11_B05_P1-F09_LIG293_5_1"	"SII"
