"Barcode"	"Cluster"
"D06_E05_P3-H05_LIG244_3_1"	"D06_E05_P3-H05_LIG244_3_1"	"SRI"
"D10_A02_P1-H07_LIG119_3_1"	"D10_A02_P1-H07_LIG119_3_1"	"SRI"
"D11_B05_P1-H08_LIG74_3_1"	"D11_B05_P1-H08_LIG74_3_1"	"SRI"
"D11_B09_P1-H07_LIG121_3_1"	"D11_B09_P1-H07_LIG121_3_1"	"SRI"
"D11_B12_P1-H08_LIG335_3_1"	"D11_B12_P1-H08_LIG335_3_1"	"SRI"
"D11_F05_P3-H05_LIG234_3_1"	"D11_F05_P3-H05_LIG234_3_1"	"SRI"
"E03_C04_P3-H05_LIG293_3_1"	"E03_C04_P3-H05_LIG293_3_1"	"SRI"
"E03_C05_P1-H07_LIG221_3_1"	"E03_C05_P1-H07_LIG221_3_1"	"SRI"
"E03_C12_P3-H05_LIG339_3_1"	"E03_C12_P3-H05_LIG339_3_1"	"SRI"
"E05_D01_P3-H05_LIG135_3_1"	"E05_D01_P3-H05_LIG135_3_1"	"SRI"
"E05_D03_P1-H08_LIG255_3_1"	"E05_D03_P1-H08_LIG255_3_1"	"SRI"
"E06_E09_P1-H07_LIG253_3_1"	"E06_E09_P1-H07_LIG253_3_1"	"SRI"
"E10_A02_P1-H08_LIG111_3_1"	"E10_A02_P1-H08_LIG111_3_1"	"SII"
"E10_A06_P1-H08_LIG151_3_1"	"E10_A06_P1-H08_LIG151_3_1"	"SRI"
"E11_F09_P1-H08_LIG72_3_1"	"E11_F09_P1-H08_LIG72_3_1"	"SRI"
"E11_F10_P3-H05_LIG290_3_1"	"E11_F10_P3-H05_LIG290_3_1"	"SRI"
"E12_G03_P1-H08_LIG91_3_1"	"E12_G03_P1-H08_LIG91_3_1"	"SRI"
"E12_G05_P3-H05_LIG110_3_1"	"E12_G05_P3-H05_LIG110_3_1"	"SRI"
"E12_G11_P1-H07_LIG204_3_1"	"E12_G11_P1-H07_LIG204_3_1"	"SRI"
"F05_D09_P1-H07_LIG152_3_1"	"F05_D09_P1-H07_LIG152_3_1"	"SRI"
"F05_D11_P1-H07_LIG45_3_1"	"F05_D11_P1-H07_LIG45_3_1"	"SRI"
"F10_A03_P1-H07_LIG275_3_1"	"F10_A03_P1-H07_LIG275_3_1"	"SRI"
"F11_B04_P1-H08_LIG14_3_1"	"F11_B04_P1-H08_LIG14_3_1"	"SRI"
"F11_B08_P1-H08_LIG257_3_1"	"F11_B08_P1-H08_LIG257_3_1"	"SRI"
"F11_F05_P1-H08_LIG50_3_1"	"F11_F05_P1-H08_LIG50_3_1"	"SRI"
"G05_D06_P1-H08_LIG215_3_1"	"G05_D06_P1-H08_LIG215_3_1"	"SRI"
"G05_D12_P3-H05_LIG342_3_1"	"G05_D12_P3-H05_LIG342_3_1"	"SRI"
"G10_A06_P1-H08_LIG300_3_1"	"G10_A06_P1-H08_LIG300_3_1"	"SRI"
"G11_B05_P3-H05_LIG204_3_1"	"G11_B05_P3-H05_LIG204_3_1"	"SRI"
"G11_F12_P3-H05_LIG281_3_1"	"G11_F12_P3-H05_LIG281_3_1"	"SRI"
"G12_G03_P3-H05_LIG134_3_1"	"G12_G03_P3-H05_LIG134_3_1"	"SRI"
"G12_G12_P1-H08_LIG51_3_1"	"G12_G12_P1-H08_LIG51_3_1"	"SRI"
"H02_B04_P1-H07_LIG80_3_1"	"H02_B04_P1-H07_LIG80_3_1"	"SRI"
"H02_B09_P1-H08_LIG117_3_1"	"H02_B09_P1-H08_LIG117_3_1"	"SRI"
"H03_C06_P3-H05_LIG13_3_1"	"H03_C06_P3-H05_LIG13_3_1"	"SRI"
"H03_C12_P3-H05_LIG93_3_1"	"H03_C12_P3-H05_LIG93_3_1"	"SRI"
"H05_D08_P1-H08_LIG152_3_1"	"H05_D08_P1-H08_LIG152_3_1"	"SRI"
"H06_E04_P1-H08_LIG185_3_1"	"H06_E04_P1-H08_LIG185_3_1"	"SRI"
"H10_A01_P1-H08_LIG76_3_1"	"H10_A01_P1-H08_LIG76_3_1"	"SRI"
"H11_B04_P1-H07_LIG91_3_1"	"H11_B04_P1-H07_LIG91_3_1"	"SRI"
"H11_B07_P3-H05_LIG223_3_1"	"H11_B07_P3-H05_LIG223_3_1"	"SRI"
"H11_B10_P1-H07_LIG182_3_1"	"H11_B10_P1-H07_LIG182_3_1"	"SRI"
"H12_G01_P1-H08_LIG275_3_1"	"H12_G01_P1-H08_LIG275_3_1"	"SRI"
"H12_G02_P1-H07_LIG131_3_1"	"H12_G02_P1-H07_LIG131_3_1"	"SRI"
"H12_G06_P3-H05_LIG204_3_1"	"H12_G06_P3-H05_LIG204_3_1"	"SRI"
"A01_F01_P4-E04_LIG244_4_1"	"A01_F01_P4-E04_LIG244_4_1"	"SRI"
"A01_F06_P4-E05_LIG289_4_1"	"A01_F06_P4-E05_LIG289_4_1"	"SRI"
"A02_A06_P4-E04_LIG25_4_1"	"A02_A06_P4-E04_LIG25_4_1"	"SRI"
"A02_A07_P4-E05_LIG222_4_1"	"A02_A07_P4-E05_LIG222_4_1"	"SRI"
"A02_A07_P4-E06_LIG2_4_1"	"A02_A07_P4-E06_LIG2_4_1"	"SRI"
"A02_A08_P4-E04_LIG103_4_1"	"A02_A08_P4-E04_LIG103_4_1"	"SRI"
"A03_B02_P4-E04_LIG197_4_1"	"A03_B02_P4-E04_LIG197_4_1"	"SRI"
"A03_B02_P4-E05_LIG189_4_1"	"A03_B02_P4-E05_LIG189_4_1"	"SRI"
"A03_B02_P4-E06_LIG19_4_1"	"A03_B02_P4-E06_LIG19_4_1"	"SRI"
"A03_B04_P4-E06_LIG342_4_1"	"A03_B04_P4-E06_LIG342_4_1"	"SRI"
"A03_B08_P4-E04_LIG279_4_1"	"A03_B08_P4-E04_LIG279_4_1"	"SRI"
"A03_B08_P4-E04_LIG61_4_1"	"A03_B08_P4-E04_LIG61_4_1"	"SRI"
"A03_B09_P4-E04_LIG133_4_1"	"A03_B09_P4-E04_LIG133_4_1"	"SRI"
"A03_B10_P4-E04_LIG68_4_1"	"A03_B10_P4-E04_LIG68_4_1"	"SRI"
"A05_C01_P4-E06_LIG264_4_1"	"A05_C01_P4-E06_LIG264_4_1"	"SRI"
"A05_C08_P4-E04_LIG380_4_1"	"A05_C08_P4-E04_LIG380_4_1"	"SII"
"A05_C09_P4-E04_LIG32_4_1"	"A05_C09_P4-E04_LIG32_4_1"	"SRI"
"A06_E04_P4-E06_LIG181_4_1"	"A06_E04_P4-E06_LIG181_4_1"	"SRI"
"A06_E05_P4-E04_LIG72_4_1"	"A06_E05_P4-E04_LIG72_4_1"	"SRI"
"A06_E06_P4-E05_LIG173_4_1"	"A06_E06_P4-E05_LIG173_4_1"	"SRI"
"A06_E09_P4-E06_LIG221_4_1"	"A06_E09_P4-E06_LIG221_4_1"	"SRI"
"A07_D01_P4-E04_LIG52_4_1"	"A07_D01_P4-E04_LIG52_4_1"	"SRI"
"A07_D03_P4-E04_LIG82_4_1"	"A07_D03_P4-E04_LIG82_4_1"	"SRI"
"A07_D12_P4-E05_LIG234_4_1"	"A07_D12_P4-E05_LIG234_4_1"	"SRI"
"A08_G01_P4-E04_LIG128_4_1"	"A08_G01_P4-E04_LIG128_4_1"	"SRI"
"A08_G02_P4-E04_LIG125_4_1"	"A08_G02_P4-E04_LIG125_4_1"	"SRI"
"A08_G03_P4-E06_LIG171_4_1"	"A08_G03_P4-E06_LIG171_4_1"	"SRI"
"A08_G04_P4-E06_LIG291_4_1"	"A08_G04_P4-E06_LIG291_4_1"	"SRI"
"A08_G07_P4-E05_LIG161_4_1"	"A08_G07_P4-E05_LIG161_4_1"	"SII"
"A08_G08_P4-E04_LIG366_4_1"	"A08_G08_P4-E04_LIG366_4_1"	"SRI"
"A08_G08_P4-E05_LIG40_4_1"	"A08_G08_P4-E05_LIG40_4_1"	"SRI"
"A08_G11_P4-E05_LIG159_4_1"	"A08_G11_P4-E05_LIG159_4_1"	"SRI"
"A09_H08_P4-E05_LIG95_4_1"	"A09_H08_P4-E05_LIG95_4_1"	"SRI"
"A09_H11_P4-E05_LIG31_4_1"	"A09_H11_P4-E05_LIG31_4_1"	"SRI"
"A10_A04_P4-E04_LIG166_4_1"	"A10_A04_P4-E04_LIG166_4_1"	"sAM"
"A11_B05_P4-E05_LIG151_4_1"	"A11_B05_P4-E05_LIG151_4_1"	"SRI"
"A11_B05_P4-E06_LIG145_4_1"	"A11_B05_P4-E06_LIG145_4_1"	"SRI"
"A11_B07_P4-E06_LIG247_4_1"	"A11_B07_P4-E06_LIG247_4_1"	"SRI"
"A11_B10_P4-E05_LIG374_4_1"	"A11_B10_P4-E05_LIG374_4_1"	"SRI"
"B01_F04_P4-E05_LIG344_4_1"	"B01_F04_P4-E05_LIG344_4_1"	"SII"
"B01_F05_P4-E05_LIG73_4_1"	"B01_F05_P4-E05_LIG73_4_1"	"SRI"
"B01_F06_P4-E04_LIG36_4_1"	"B01_F06_P4-E04_LIG36_4_1"	"SRI"
"B01_F06_P4-E05_LIG155_4_1"	"B01_F06_P4-E05_LIG155_4_1"	"SRI"
"B01_F07_P4-E05_LIG53_4_1"	"B01_F07_P4-E05_LIG53_4_1"	"SRI"
"B01_F12_P4-E04_LIG290_4_1"	"B01_F12_P4-E04_LIG290_4_1"	"SRI"
"B02_A02_P4-E05_LIG148_4_1"	"B02_A02_P4-E05_LIG148_4_1"	"SRI"
"B02_A05_P4-E05_LIG129_4_1"	"B02_A05_P4-E05_LIG129_4_1"	"SRI"
"B02_A12_P4-E06_LIG25_4_1"	"B02_A12_P4-E06_LIG25_4_1"	"SRI"
"B03_B02_P4-E04_LIG27_4_1"	"B03_B02_P4-E04_LIG27_4_1"	"SRI"
"B03_B02_P4-E05_LIG10_4_1"	"B03_B02_P4-E05_LIG10_4_1"	"SRI"
"B03_B04_P4-E05_LIG270_4_1"	"B03_B04_P4-E05_LIG270_4_1"	"SRI"
"B03_B11_P4-E05_LIG362_4_1"	"B03_B11_P4-E05_LIG362_4_1"	"SRI"
"B03_B11_P4-E06_LIG382_4_1"	"B03_B11_P4-E06_LIG382_4_1"	"SRI"
"B05_C04_P4-E05_LIG82_4_1"	"B05_C04_P4-E05_LIG82_4_1"	"SRI"
"B06_E01_P4-E06_LIG76_4_1"	"B06_E01_P4-E06_LIG76_4_1"	"SRI"
"B06_E07_P4-E05_LIG153_4_1"	"B06_E07_P4-E05_LIG153_4_1"	"SRI"
"B06_E08_P4-E06_LIG34_4_1"	"B06_E08_P4-E06_LIG34_4_1"	"SRI"
"B06_E11_P4-E06_LIG339_4_1"	"B06_E11_P4-E06_LIG339_4_1"	"SRI"
"B06_E12_P4-E04_LIG62_4_1"	"B06_E12_P4-E04_LIG62_4_1"	"SRI"
"B07_D02_P4-E04_LIG121_4_1"	"B07_D02_P4-E04_LIG121_4_1"	"SII"
"B07_D02_P4-E05_LIG39_4_1"	"B07_D02_P4-E05_LIG39_4_1"	"SRI"
"B08_G02_P4-E04_LIG347_4_1"	"B08_G02_P4-E04_LIG347_4_1"	"SII"
"B08_G09_P4-E05_LIG107_4_1"	"B08_G09_P4-E05_LIG107_4_1"	"SII"
"B08_G09_P4-E06_LIG339_4_1"	"B08_G09_P4-E06_LIG339_4_1"	"SRI"
"B08_G10_P4-E05_LIG283_4_1"	"B08_G10_P4-E05_LIG283_4_1"	"SRI"
"B09_H06_P4-E05_LIG264_4_1"	"B09_H06_P4-E05_LIG264_4_1"	"SRI"
"B09_H08_P4-E06_LIG381_4_1"	"B09_H08_P4-E06_LIG381_4_1"	"SRI"
"B09_H11_P4-E06_LIG22_4_1"	"B09_H11_P4-E06_LIG22_4_1"	"SRI"
"B11_B06_P4-E06_LIG162_4_1"	"B11_B06_P4-E06_LIG162_4_1"	"SRI"
"C01_F01_P4-E05_LIG100_4_1"	"C01_F01_P4-E05_LIG100_4_1"	"SII"
"C01_F03_P4-E05_LIG360_4_1"	"C01_F03_P4-E05_LIG360_4_1"	"SRI"
"C01_F04_P4-E04_LIG41_4_1"	"C01_F04_P4-E04_LIG41_4_1"	"SRI"
"C01_F08_P4-E04_LIG25_4_1"	"C01_F08_P4-E04_LIG25_4_1"	"SRI"
"C01_F09_P4-E05_LIG285_4_1"	"C01_F09_P4-E05_LIG285_4_1"	"SII"
"C01_F09_P4-E05_LIG94_4_1"	"C01_F09_P4-E05_LIG94_4_1"	"SRI"
"C02_A03_P4-E04_LIG220_4_1"	"C02_A03_P4-E04_LIG220_4_1"	"SRI"
"C02_A04_P4-E05_LIG153_4_1"	"C02_A04_P4-E05_LIG153_4_1"	"SRI"
"C02_A05_P4-E06_LIG355_4_1"	"C02_A05_P4-E06_LIG355_4_1"	"SRI"
"C02_A11_P4-E04_LIG10_4_1"	"C02_A11_P4-E04_LIG10_4_1"	"SRI"
"C03_B02_P4-E04_LIG178_4_1"	"C03_B02_P4-E04_LIG178_4_1"	"SRI"
"C03_B02_P4-E06_LIG159_4_1"	"C03_B02_P4-E06_LIG159_4_1"	"SRI"
"C03_B03_P4-E06_LIG188_4_1"	"C03_B03_P4-E06_LIG188_4_1"	"SRI"
"C03_B10_P4-E05_LIG343_4_1"	"C03_B10_P4-E05_LIG343_4_1"	"SRI"
"C03_B11_P4-E04_LIG35_4_1"	"C03_B11_P4-E04_LIG35_4_1"	"SRI"
"C05_C02_P4-E05_LIG288_4_1"	"C05_C02_P4-E05_LIG288_4_1"	"SRI"
"C07_D09_P4-E04_LIG141_4_1"	"C07_D09_P4-E04_LIG141_4_1"	"SII"
"C08_G02_P4-E05_LIG4_4_1"	"C08_G02_P4-E05_LIG4_4_1"	"SRI"
"C08_G03_P4-E04_LIG77_4_1"	"C08_G03_P4-E04_LIG77_4_1"	"SII"
"C08_G05_P4-E06_LIG93_4_1"	"C08_G05_P4-E06_LIG93_4_1"	"SRI"
"C08_G06_P4-E04_LIG118_4_1"	"C08_G06_P4-E04_LIG118_4_1"	"sAM"
"C08_G06_P4-E05_LIG150_4_1"	"C08_G06_P4-E05_LIG150_4_1"	"SRI"
"C08_G10_P4-E05_LIG217_4_1"	"C08_G10_P4-E05_LIG217_4_1"	"SRI"
"C08_G10_P4-E05_LIG365_4_1"	"C08_G10_P4-E05_LIG365_4_1"	"SRI"
"C09_H04_P4-E04_LIG25_4_1"	"C09_H04_P4-E04_LIG25_4_1"	"SII"
"C09_H07_P4-E06_LIG121_4_1"	"C09_H07_P4-E06_LIG121_4_1"	"SRI"
"C10_A09_P4-E06_LIG132_4_1"	"C10_A09_P4-E06_LIG132_4_1"	"SRI"
"C11_B11_P4-E06_LIG223_4_1"	"C11_B11_P4-E06_LIG223_4_1"	"SRI"
"D01_F02_P4-E06_LIG99_4_1"	"D01_F02_P4-E06_LIG99_4_1"	"SRI"
"D01_F04_P4-E04_LIG139_4_1"	"D01_F04_P4-E04_LIG139_4_1"	"SRI"
"D01_F05_P4-E05_LIG144_4_1"	"D01_F05_P4-E05_LIG144_4_1"	"SRI"
"D01_F07_P4-E06_LIG270_4_1"	"D01_F07_P4-E06_LIG270_4_1"	"SRI"
"D01_F09_P4-E06_LIG200_4_1"	"D01_F09_P4-E06_LIG200_4_1"	"SRI"
"D01_F10_P4-E04_LIG252_4_1"	"D01_F10_P4-E04_LIG252_4_1"	"SRI"
"D01_F10_P4-E05_LIG140_4_1"	"D01_F10_P4-E05_LIG140_4_1"	"SII"
"D02_A01_P4-E05_LIG167_4_1"	"D02_A01_P4-E05_LIG167_4_1"	"SRI"
"D02_A05_P4-E04_LIG68_4_1"	"D02_A05_P4-E04_LIG68_4_1"	"SRI"
"D02_A12_P4-E05_LIG144_4_1"	"D02_A12_P4-E05_LIG144_4_1"	"SRI"
"D03_B06_P4-E05_LIG314_4_1"	"D03_B06_P4-E05_LIG314_4_1"	"SRI"
"D03_B07_P4-E05_LIG81_4_1"	"D03_B07_P4-E05_LIG81_4_1"	"SRI"
"D03_B07_P4-E06_LIG146_4_1"	"D03_B07_P4-E06_LIG146_4_1"	"SRI"
"D03_B08_P4-E04_LIG61_4_1"	"D03_B08_P4-E04_LIG61_4_1"	"SRI"
"D03_B09_P4-E06_LIG23_4_1"	"D03_B09_P4-E06_LIG23_4_1"	"SRI"
